zip,type,decommissioned,primary_city,state,county,timezone
782,STANDARD,0,Comerio,PR,Comerio Municipio,America/Puerto_Rico
783,STANDARD,0,Corozal,PR,Corozal Municipio,America/Puerto_Rico
784,STANDARD,0,Guayama,PR,Guayama Municipio,America/Puerto_Rico
785,PO BOX,0,Guayama,PR,,America/Puerto_Rico
786,PO BOX,0,La Plata,PR,Aibonito Municipio,America/Puerto_Rico
791,STANDARD,0,Humacao,PR,Humacao Municipio,America/Puerto_Rico
792,PO BOX,0,Humacao,PR,,America/Puerto_Rico
794,STANDARD,0,Barranquitas,PR,Barranquitas Municipio,America/Puerto_Rico
795,STANDARD,0,Juana Diaz,PR,Juana Diaz Municipio,America/Puerto_Rico
801,PO BOX,0,St Thomas,VI,,America/St_Thomas
802,STANDARD,0,St Thomas,VI,,America/St_Thomas
803,PO BOX,0,St Thomas,VI,,America/St_Thomas
804,PO BOX,0,St Thomas,VI,,America/St_Thomas
805,PO BOX,0,St Thomas,VI,,America/St_Thomas
820,STANDARD,0,Christiansted,VI,,America/St_Thomas
821,PO BOX,0,Christiansted,VI,,America/St_Thomas
822,PO BOX,0,Christiansted,VI,,America/St_Thomas
823,PO BOX,0,Christiansted,VI,,America/St_Thomas
824,PO BOX,0,Christiansted,VI,,America/St_Thomas
830,STANDARD,0,St John,VI,,America/St_Thomas
831,PO BOX,0,St John,VI,,America/St_Thomas
840,STANDARD,0,Frederiksted,VI,,America/St_Thomas
841,PO BOX,0,Frederiksted,VI,,America/St_Thomas
850,STANDARD,0,Kingshill,VI,,America/St_Thomas
851,PO BOX,0,Kingshill,VI,,America/St_Thomas
901,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico
902,PO BOX,0,San Juan,PR,,America/Puerto_Rico
906,PO BOX,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico
907,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico
908,PO BOX,0,San Juan,PR,,America/Puerto_Rico
909,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico
910,PO BOX,0,San Juan,PR,,America/Puerto_Rico
911,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico
912,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico
913,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico
914,PO BOX,0,San Juan,PR,,America/Puerto_Rico
915,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico
916,PO BOX,0,San Juan,PR,,America/Puerto_Rico
917,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico
918,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico
919,PO BOX,0,San Juan,PR,,America/Puerto_Rico
920,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico
921,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico
922,PO BOX,0,San Juan,PR,,America/Puerto_Rico
923,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico
924,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico
925,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico
926,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico
927,STANDARD,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico
928,PO BOX,0,San Juan,PR,,America/Puerto_Rico
929,PO BOX,0,San Juan,PR,San Juan,America/Puerto_Rico
930,PO BOX,0,San Juan,PR,,America/Puerto_Rico
931,PO BOX,0,San Juan,PR,San Juan,America/Puerto_Rico
933,PO BOX,0,San Juan,PR,San Juan,America/Puerto_Rico
934,STANDARD,0,Fort Buchanan,PR,Guaynabo Municipio,America/Puerto_Rico
935,UNIQUE,0,San Juan,PR,San Juan,America/Puerto_Rico
936,PO BOX,0,San Juan,PR,San Juan Municipio,America/Puerto_Rico
937,PO BOX,0,San Juan,PR,San Juan,America/Puerto_Rico
939,UNIQUE,0,San Juan,PR,San Juan,America/Puerto_Rico
940,PO BOX,0,San Juan,PR,,America/Puerto_Rico
949,STANDARD,0,Toa Baja,PR,Toa Baja Municipio,America/Puerto_Rico
950,PO BOX,0,Toa Baja,PR,Dorado Municipio,America/Puerto_Rico
951,PO BOX,0,Toa Baja,PR,Toa Baja Municipio,America/Puerto_Rico
952,STANDARD,0,Sabana Seca,PR,Toa Baja Municipio,America/Puerto_Rico
953,STANDARD,0,Toa Alta,PR,Toa Alta Municipio,America/Puerto_Rico
954,PO BOX,0,Toa Alta,PR,Toa Alta,America/Puerto_Rico
955,PO BOX,0,San Juan,PR,San Juan,America/Puerto_Rico
956,STANDARD,0,Bayamon,PR,Bayamon Municipio,America/Puerto_Rico
957,STANDARD,0,Bayamon,PR,Bayamon Municipio,America/Puerto_Rico
958,PO BOX,0,Bayamon,PR,Bayamon,America/Puerto_Rico
959,STANDARD,0,Bayamon,PR,Bayamon Municipio,America/Puerto_Rico
960,PO BOX,0,Bayamon,PR,Bayamon Municipio,America/Puerto_Rico
961,STANDARD,0,Bayamon,PR,Bayamon Municipio,America/Puerto_Rico
962,STANDARD,0,Catano,PR,Catano Municipio,America/Puerto_Rico
963,PO BOX,0,Catano,PR,Catano,America/Puerto_Rico
965,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico
966,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico
968,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico
969,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico
970,PO BOX,0,Guaynabo,PR,,America/Puerto_Rico
971,STANDARD,0,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico
975,UNIQUE,0,San Juan,PR,San Juan,America/Puerto_Rico
976,STANDARD,0,Trujillo Alto,PR,Trujillo Alto Municipio,America/Puerto_Rico
977,PO BOX,0,Trujillo Alto,PR,,America/Puerto_Rico
978,PO BOX,0,Saint Just,PR,San Juan,America/Puerto_Rico
979,STANDARD,0,Carolina,PR,Carolina Municipio,America/Puerto_Rico
981,PO BOX,0,Carolina,PR,Carolina,America/Puerto_Rico
982,STANDARD,0,Carolina,PR,Carolina Municipio,America/Puerto_Rico
983,STANDARD,0,Carolina,PR,Carolina Municipio,America/Puerto_Rico
984,PO BOX,0,Carolina,PR,Carolina,America/Puerto_Rico
985,STANDARD,0,Carolina,PR,Carolina Municipio,America/Puerto_Rico
986,PO BOX,0,Carolina,PR,Carolina,America/Puerto_Rico
987,STANDARD,0,Carolina,PR,Carolina Municipio,America/Puerto_Rico
988,PO BOX,0,Carolina,PR,Carolina,America/Puerto_Rico
1001,STANDARD,0,Agawam,MA,Hampden County,America/New_York
1002,STANDARD,0,Amherst,MA,Hampshire County,America/New_York
1003,PO BOX,0,Amherst,MA,Hampshire County,America/New_York
1004,PO BOX,0,Amherst,MA,Hampshire County,America/New_York
1005,STANDARD,0,Barre,MA,Worcester County,America/New_York
1007,STANDARD,0,Belchertown,MA,Hampshire County,America/New_York
1008,STANDARD,0,Blandford,MA,Hampden County,America/New_York
1009,PO BOX,0,Bondsville,MA,Hampden County,America/New_York
1010,STANDARD,0,Brimfield,MA,Hampden County,America/New_York
1011,STANDARD,0,Chester,MA,Hampden County,America/New_York
1012,STANDARD,0,Chesterfield,MA,Hampshire County,America/New_York
1013,STANDARD,0,Chicopee,MA,Hampden County,America/New_York
1014,PO BOX,0,Chicopee,MA,Hampden County,America/New_York
1020,STANDARD,0,Chicopee,MA,Hampden County,America/New_York
1021,PO BOX,0,Chicopee,MA,Hampden County,America/New_York
1022,STANDARD,0,Chicopee,MA,Hampden County,America/New_York
1026,STANDARD,0,Cummington,MA,Hampshire County,America/New_York
1027,STANDARD,0,Easthampton,MA,Hampshire County,America/New_York
1028,STANDARD,0,East Longmeadow,MA,Hampden County,America/New_York
1029,PO BOX,0,East Otis,MA,Berkshire County,America/New_York
1030,STANDARD,0,Feeding Hills,MA,Hampden County,America/New_York
1031,STANDARD,0,Gilbertville,MA,Worcester County,America/New_York
1032,STANDARD,0,Goshen,MA,Hampshire County,America/New_York
1033,STANDARD,0,Granby,MA,Hampshire County,America/New_York
1034,STANDARD,0,Granville,MA,Hampden County,America/New_York
1035,STANDARD,0,Hadley,MA,Hampshire County,America/New_York
1036,STANDARD,0,Hampden,MA,Hampden County,America/New_York
1037,PO BOX,0,Hardwick,MA,Worcester County,America/New_York
1038,STANDARD,0,Hatfield,MA,Hampshire County,America/New_York
1039,STANDARD,0,Haydenville,MA,Hampshire County,America/New_York
1040,STANDARD,0,Holyoke,MA,Hampden County,America/New_York
1041,PO BOX,0,Holyoke,MA,Hampden County,America/New_York
1050,STANDARD,0,Huntington,MA,Hampshire County,America/New_York
1053,STANDARD,0,Leeds,MA,Hampshire County,America/New_York
1054,STANDARD,0,Leverett,MA,Franklin County,America/New_York
1056,STANDARD,0,Ludlow,MA,Hampden County,America/New_York
1057,STANDARD,0,Monson,MA,Hampden County,America/New_York
1059,PO BOX,0,North Amherst,MA,Hampshire County,America/New_York
1060,STANDARD,0,Northampton,MA,Hampshire County,America/New_York
1061,PO BOX,0,Northampton,MA,Hampshire County,America/New_York
1062,STANDARD,0,Florence,MA,Hampshire County,America/New_York
1063,UNIQUE,0,Northampton,MA,Hampshire County,America/New_York
1066,PO BOX,0,North Hatfield,MA,Hampshire County,America/New_York
1068,STANDARD,0,Oakham,MA,Worcester County,America/New_York
1069,STANDARD,0,Palmer,MA,Hampden County,America/New_York
1070,STANDARD,0,Plainfield,MA,Hampshire County,America/New_York
1071,STANDARD,0,Russell,MA,Hampden County,America/New_York
1072,STANDARD,0,Shutesbury,MA,Franklin County,America/New_York
1073,STANDARD,0,Southampton,MA,Hampshire County,America/New_York
1074,PO BOX,0,South Barre,MA,Worcester County,America/New_York
1075,STANDARD,0,South Hadley,MA,Hampshire County,America/New_York
1077,STANDARD,0,Southwick,MA,Hampden County,America/New_York
1079,PO BOX,0,Thorndike,MA,Hampden County,America/New_York
1080,STANDARD,0,Three Rivers,MA,Hampden County,America/New_York
1081,STANDARD,0,Wales,MA,Hampden County,America/New_York
1082,STANDARD,0,Ware,MA,Hampshire County,America/New_York
1083,PO BOX,0,Warren,MA,Worcester County,America/New_York
1084,STANDARD,0,West Chesterfield,MA,Hampshire County,America/New_York
1085,STANDARD,0,Westfield,MA,Hampden County,America/New_York
1086,PO BOX,0,Westfield,MA,Hampden County,America/New_York
1088,STANDARD,0,West Hatfield,MA,Hampshire County,America/New_York
1089,STANDARD,0,West Springfield,MA,Hampden County,America/New_York
1090,PO BOX,0,West Springfield,MA,Hampden County,America/New_York
1092,PO BOX,0,West Warren,MA,Worcester County,America/New_York
1093,PO BOX,0,Whately,MA,Franklin County,America/New_York
1094,PO BOX,0,Wheelwright,MA,Worcester County,America/New_York
1095,STANDARD,0,Wilbraham,MA,Hampden County,America/New_York
1096,STANDARD,0,Williamsburg,MA,Hampshire County,America/New_York
1097,PO BOX,0,Woronoco,MA,Hampden County,America/New_York
1098,STANDARD,0,Worthington,MA,Hampshire County,America/New_York
1101,PO BOX,0,Springfield,MA,Hampden County,America/New_York
1102,PO BOX,0,Springfield,MA,Hampden County,America/New_York
1103,STANDARD,0,Springfield,MA,Hampden County,America/New_York
1104,STANDARD,0,Springfield,MA,Hampden County,America/New_York
1105,STANDARD,0,Springfield,MA,Hampden County,America/New_York
1106,STANDARD,0,Longmeadow,MA,Hampden County,America/New_York
1107,STANDARD,0,Springfield,MA,Hampden County,America/New_York
1108,STANDARD,0,Springfield,MA,Hampden County,America/New_York
1109,STANDARD,0,Springfield,MA,Hampden County,America/New_York
1111,UNIQUE,0,Springfield,MA,Hampden County,America/New_York
1115,PO BOX,0,Springfield,MA,Hampden County,America/New_York
1116,PO BOX,0,Longmeadow,MA,Hampden County,America/New_York
1118,STANDARD,0,Springfield,MA,Hampden County,America/New_York
1119,STANDARD,0,Springfield,MA,Hampden County,America/New_York
1128,STANDARD,0,Springfield,MA,Hampden County,America/New_York
1129,STANDARD,0,Springfield,MA,Hampden County,America/New_York
1133,UNIQUE,1,Springfield,MA,Hampden County,America/New_York
1138,PO BOX,0,Springfield,MA,Hampden County,America/New_York
1139,PO BOX,0,Springfield,MA,Hampden County,America/New_York
1144,STANDARD,0,Springfield,MA,Hampden County,America/New_York
1151,STANDARD,0,Indian Orchard,MA,Hampden County,America/New_York
1152,STANDARD,0,Springfield,MA,Hampden County,America/New_York
1195,STANDARD,1,Springfield,MA,Hampden County,America/New_York
1199,UNIQUE,0,Springfield,MA,Hampden County,America/New_York
1201,STANDARD,0,Pittsfield,MA,Berkshire County,America/New_York
1202,PO BOX,0,Pittsfield,MA,Berkshire County,America/New_York
1203,PO BOX,0,Pittsfield,MA,Berkshire County,America/New_York
1220,STANDARD,0,Adams,MA,Berkshire County,America/New_York
1222,STANDARD,0,Ashley Falls,MA,Berkshire County,America/New_York
1223,STANDARD,0,Becket,MA,Berkshire County,America/New_York
1224,STANDARD,0,Berkshire,MA,Berkshire County,America/New_York
1225,STANDARD,0,Cheshire,MA,Berkshire County,America/New_York
1226,STANDARD,0,Dalton,MA,Berkshire County,America/New_York
1227,PO BOX,0,Dalton,MA,Berkshire County,America/New_York
1229,PO BOX,0,Glendale,MA,Berkshire County,America/New_York
1230,STANDARD,0,Great Barrington,MA,Berkshire County,America/New_York
1235,STANDARD,0,Hinsdale,MA,Berkshire County,America/New_York
1236,STANDARD,0,Housatonic,MA,Berkshire County,America/New_York
1237,STANDARD,0,Lanesboro,MA,Berkshire County,America/New_York
1238,STANDARD,0,Lee,MA,Berkshire County,America/New_York
1240,STANDARD,0,Lenox,MA,Berkshire County,America/New_York
1242,PO BOX,0,Lenox Dale,MA,Berkshire County,America/New_York
1243,PO BOX,0,Middlefield,MA,Hampshire County,America/New_York
1244,PO BOX,0,Mill River,MA,Berkshire County,America/New_York
1245,STANDARD,0,Monterey,MA,Berkshire County,America/New_York
1247,STANDARD,0,North Adams,MA,Berkshire County,America/New_York
1252,PO BOX,0,North Egremont,MA,Berkshire County,America/New_York
1253,STANDARD,0,Otis,MA,Berkshire County,America/New_York
1254,STANDARD,0,Richmond,MA,Berkshire County,America/New_York
1255,STANDARD,0,Sandisfield,MA,Berkshire County,America/New_York
1256,STANDARD,0,Savoy,MA,Berkshire County,America/New_York
1257,STANDARD,0,Sheffield,MA,Berkshire County,America/New_York
1258,STANDARD,0,South Egremont,MA,Berkshire County,America/New_York
1259,STANDARD,0,Southfield,MA,Berkshire County,America/New_York
1260,PO BOX,0,South Lee,MA,Berkshire County,America/New_York
1262,PO BOX,0,Stockbridge,MA,Berkshire County,America/New_York
1263,UNIQUE,0,Stockbridge,MA,Berkshire County,America/New_York
1264,PO BOX,0,Tyringham,MA,Berkshire County,America/New_York
1266,STANDARD,0,West Stockbridge,MA,Berkshire County,America/New_York
1267,STANDARD,0,Williamstown,MA,Berkshire County,America/New_York
1270,STANDARD,0,Windsor,MA,Berkshire County,America/New_York
1301,STANDARD,0,Greenfield,MA,Franklin County,America/New_York
1302,PO BOX,0,Greenfield,MA,Franklin County,America/New_York
1330,STANDARD,0,Ashfield,MA,Franklin County,America/New_York
1331,STANDARD,0,Athol,MA,Worcester County,America/New_York
1337,STANDARD,0,Bernardston,MA,Franklin County,America/New_York
1338,STANDARD,0,Buckland,MA,Franklin County,America/New_York
1339,STANDARD,0,Charlemont,MA,Franklin County,America/New_York
1340,STANDARD,0,Colrain,MA,Franklin County,America/New_York
1341,STANDARD,0,Conway,MA,Franklin County,America/New_York
1342,STANDARD,0,Deerfield,MA,Franklin County,America/New_York
1343,STANDARD,0,Drury,MA,Berkshire County,America/New_York
1344,STANDARD,0,Erving,MA,Franklin County,America/New_York
1346,STANDARD,0,Heath,MA,Franklin County,America/New_York
1347,PO BOX,0,Lake Pleasant,MA,Franklin County,America/New_York
1349,STANDARD,0,Millers Falls,MA,Franklin County,America/New_York
1350,PO BOX,0,Monroe Bridge,MA,Franklin County,America/New_York
1351,STANDARD,0,Montague,MA,Franklin County,America/New_York
1354,STANDARD,0,Gill,MA,Franklin County,America/New_York
1355,STANDARD,0,New Salem,MA,Franklin County,America/New_York
1360,STANDARD,0,Northfield,MA,Franklin County,America/New_York
1364,STANDARD,0,Orange,MA,Franklin County,America/New_York
1366,STANDARD,0,Petersham,MA,Worcester County,America/New_York
1367,STANDARD,0,Rowe,MA,Franklin County,America/New_York
1368,STANDARD,0,Royalston,MA,Worcester County,America/New_York
1370,STANDARD,0,Shelburne Falls,MA,Franklin County,America/New_York
1373,STANDARD,0,South Deerfield,MA,Franklin County,America/New_York
1375,STANDARD,0,Sunderland,MA,Franklin County,America/New_York
1376,STANDARD,0,Turners Falls,MA,Franklin County,America/New_York
1378,STANDARD,0,Warwick,MA,Franklin County,America/New_York
1379,STANDARD,0,Wendell,MA,Franklin County,America/New_York
1380,STANDARD,0,Wendell Depot,MA,Franklin County,America/New_York
1420,STANDARD,0,Fitchburg,MA,Worcester County,America/New_York
1430,STANDARD,0,Ashburnham,MA,Worcester County,America/New_York
1431,STANDARD,0,Ashby,MA,Middlesex County,America/New_York
1432,STANDARD,0,Ayer,MA,Middlesex County,America/New_York
1434,STANDARD,0,Devens,MA,Worcester County,America/New_York
1436,STANDARD,0,Baldwinville,MA,Worcester County,America/New_York
1438,PO BOX,0,East Templeton,MA,Worcester County,America/New_York
1440,STANDARD,0,Gardner,MA,Worcester County,America/New_York
1441,UNIQUE,0,Westminster,MA,Worcester County,America/New_York
1450,STANDARD,0,Groton,MA,Middlesex County,America/New_York
1451,STANDARD,0,Harvard,MA,Worcester County,America/New_York
1452,STANDARD,0,Hubbardston,MA,Worcester County,America/New_York
1453,STANDARD,0,Leominster,MA,Worcester County,America/New_York
1460,STANDARD,0,Littleton,MA,Middlesex County,America/New_York
1462,STANDARD,0,Lunenburg,MA,Worcester County,America/New_York
1463,STANDARD,0,Pepperell,MA,Middlesex County,America/New_York
1464,STANDARD,0,Shirley,MA,Middlesex County,America/New_York
1467,PO BOX,0,Still River,MA,Worcester County,America/New_York
1468,STANDARD,0,Templeton,MA,Worcester County,America/New_York
1469,STANDARD,0,Townsend,MA,Middlesex County,America/New_York
1470,UNIQUE,0,Groton,MA,Middlesex County,America/New_York
1471,UNIQUE,0,Groton,MA,Middlesex County,America/New_York
1472,PO BOX,0,West Groton,MA,Middlesex County,America/New_York
1473,STANDARD,0,Westminster,MA,Worcester County,America/New_York
1474,STANDARD,0,West Townsend,MA,Middlesex County,America/New_York
1475,STANDARD,0,Winchendon,MA,Worcester County,America/New_York
1477,PO BOX,0,Winchendon Springs,MA,Worcester County,America/New_York
1501,STANDARD,0,Auburn,MA,Worcester County,America/New_York
1503,STANDARD,0,Berlin,MA,Worcester County,America/New_York
1504,STANDARD,0,Blackstone,MA,Worcester County,America/New_York
1505,STANDARD,0,Boylston,MA,Worcester County,America/New_York
1506,STANDARD,0,Brookfield,MA,Worcester County,America/New_York
1507,STANDARD,0,Charlton,MA,Worcester County,America/New_York
1508,PO BOX,0,Charlton City,MA,Worcester County,America/New_York
1509,PO BOX,0,Charlton Depot,MA,Worcester County,America/New_York
1510,STANDARD,0,Clinton,MA,Worcester County,America/New_York
1515,STANDARD,0,East Brookfield,MA,Worcester County,America/New_York
1516,STANDARD,0,Douglas,MA,Worcester County,America/New_York
1517,PO BOX,0,East Princeton,MA,Worcester County,America/New_York
1518,STANDARD,0,Fiskdale,MA,Worcester County,America/New_York
1519,STANDARD,0,Grafton,MA,Worcester County,America/New_York
1520,STANDARD,0,Holden,MA,Worcester County,America/New_York
1521,STANDARD,0,Holland,MA,Hampden County,America/New_York
1522,STANDARD,0,Jefferson,MA,Worcester County,America/New_York
1523,STANDARD,0,Lancaster,MA,Worcester County,America/New_York
1524,STANDARD,0,Leicester,MA,Worcester County,America/New_York
1525,PO BOX,0,Linwood,MA,Worcester County,America/New_York
1526,PO BOX,0,Manchaug,MA,Worcester County,America/New_York
1527,STANDARD,0,Millbury,MA,Worcester County,America/New_York
1529,STANDARD,0,Millville,MA,Worcester County,America/New_York
